5; 4.150; 3.02; 5.42e+07;  5.19;100
 5; 4.167; 2.69; 4.25e+07;  4.62;100
 5; 4.183; 2.71; 3.32e+07;  4.76;100
 5; 4.133; 2.55; 5.96e+07;  4.24;100
 5; 4.250; 2.80;-6.29e+06;  5.44;100
 5; 4.133; 2.47; 5.51e+07;  4.07;100
 5; 4.167; 2.53; 2.96e+07;  4.31;100
 5; 4.150; 2.46; 3.84e+07;  4.12;100
 5; 4.133; 2.37; 4.49e+07;  3.89;100
 5; 4.117; 2.33; 5.91e+07;  3.76;100
 5; 4.133; 2.35; 4.22e+07;  3.86;100
 5; 4.167; 2.43; 1.25e+07;  4.15;100
 5; 4.117; 2.27; 5.13e+07;  3.66;100
 5; 4.117; 2.26; 4.94e+07;  3.64;100
 5; 4.075; 2.16; 9.36e+07;  3.36;100
 5; 4.075; 2.12; 8.92e+07;  3.30;100
 5; 4.062; 2.09; 1.05e+08;  3.23;100
 5; 4.150; 2.26;-5.77e+05;  3.81;100
 5; 4.117; 2.18; 3.39e+07;  3.53;100
 5; 4.075; 2.09; 8.58e+07;  3.25;100
 5; 4.050; 2.04; 1.19e+08;  3.13;100
 5; 4.133; 2.18; 4.13e+06;  3.61;100
 5; 4.050; 2.00; 1.16e+08;  3.07;100
 5; 4.133; 2.13;-1.27e+07;  3.53;100
 5; 4.075; 2.00; 6.70e+07;  3.12;100
 5; 4.020; 1.87; 1.58e+08;  2.84;100
 5; 4.075; 1.96; 5.69e+07;  3.06;100
 5; 4.075; 1.92; 4.28e+07;  3.02;100
 5; 4.100; 1.96;-3.37e+06;  3.17;100
 5; 4.050; 1.84; 7.94e+07;  2.84;100
 5; 4.010; 1.73; 1.60e+08;  2.63;100
 5; 4.030; 1.76; 1.10e+08;  2.71;100
 5; 4.010; 1.67; 1.43e+08;  2.56;100
 5; 4.040; 1.65; 1.12e+07;  2.61;100
 5; 4.020; 1.61; 7.25e+07;  2.52;100
 5; 4.020; 1.60; 6.35e+07;  2.50;100
 5; 4.020; 1.59; 6.05e+07;  2.50;100
 5; 3.994; 1.54; 1.46e+08;  2.38;100
 5; 3.975; 1.50; 2.13e+08;  2.31;100
 5; 3.988; 1.51; 1.59e+08;  2.34;100
 5; 3.988; 1.50; 1.55e+08;  2.33;100
 5; 4.010; 1.48; 1.26e+07;  2.37;100
 5; 3.994; 1.42; 4.97e+07;  2.27;100
 5; 4.000; 1.42; 1.45e+07;  2.29;100
 5; 3.981; 1.40; 1.13e+08;  2.22;100
 5; 3.994; 1.39; 1.86e+07;  2.25;100
 5; 3.988; 1.37; 3.76e+07;  2.21;100
 5; 3.966; 1.34; 1.60e+08;  2.13;100
 5; 3.988; 1.36; 1.84e+07;  2.20;100
 5; 3.988; 1.34;-6.75e+06;  2.18;100
 5; 3.927; 1.24; 3.46e+08;  1.99;100
 5; 3.927; 1.18; 3.02e+08;  1.93;100
 5; 3.936; 1.11; 1.00e+08;  1.89;100
 5; 3.914; 1.02; 2.14e+08;  1.78;100
 3; 3.588; 2.27; 1.19e+09;  1.90;100
 3; 3.672; 1.73; 2.10e+08;  3.08;100
 5; 3.888; 1.53; 5.74e+08;  2.14;100
 3; 3.613; 1.77; 2.04e+09;  1.52;100
 3; 3.672; 1.55; 3.10e+08;  2.70;100
 3; 3.674; 1.43; 3.99e+08;  2.48;100
 3; 3.690; 1.29; 4.86e+08;  2.32;100
 3; 3.702; 1.22; 6.26e+08;  2.13;100
 3; 3.644; 1.29; 2.08e+09;  1.49;100
 5; 3.770; 1.05; 1.35e+09;  1.63;100
 5; 3.789; 1.03; 1.39e+09;  1.60;100
 5; 3.809; 1.00; 1.47e+09;  1.55;100
 3; 3.680; 1.12; 7.62e+08;  2.00;100
 5; 3.831; 0.95; 1.41e+09;  1.53;100
 3; 3.706; 1.04; 9.69e+08;  1.84;100
 5; 3.791; 0.91; 1.76e+09;  1.47;100
 3; 3.686; 1.02; 9.17e+08;  1.88;100
 5; 3.766; 0.91; 1.79e+09;  1.48;100
 5; 3.766; 0.82; 2.22e+09;  1.39;100
 5; 3.745; 0.83; 2.21e+09;  1.41;100
 3; 3.690; 0.89; 1.19e+09;  1.73;100
 5; 3.770; 0.75; 2.62e+09;  1.33;100
 3; 3.686; 0.86; 1.33e+09;  1.67;100
 3; 3.684; 0.83; 1.43e+09;  1.63;100
 5; 3.750; 0.71; 2.94e+09;  1.30;100
 5; 3.800; 0.67; 2.69e+09;  1.28;100
 5; 3.828; 0.65; 1.02e+09;  1.41;100
 3; 3.658; 0.83; 4.00e+09;  1.24;100
 5; 3.789; 0.64; 3.06e+09;  1.25;100
 5; 3.775; 0.65; 3.27e+09;  1.25;100
 3; 3.672; 0.75; 2.31e+09;  1.42;100
 5; 3.764; 0.61; 3.64e+09;  1.22;100
 5; 3.789; 0.57; 3.40e+09;  1.21;100
 3; 3.678; 0.70; 2.19e+09;  1.44;100
 5; 3.764; 0.57; 3.98e+09;  1.19;100
 5; 3.730; 0.59; 4.08e+09;  1.20;100
 5; 3.803; 0.53; 1.72e+09;  1.29;100
 5; 3.764; 0.54; 4.26e+09;  1.16;100
 5; 3.752; 0.54; 4.36e+09;  1.16;100
 3; 3.678; 0.65; 2.63e+09;  1.37;100
 5; 3.775; 0.50; 4.23e+09;  1.15;100
 5; 3.825; 0.48; 7.49e+08;  1.29;100
 5; 3.816; 0.48; 1.13e+09;  1.27;100
 5; 3.750; 0.50; 4.78e+09;  1.13;100
 5; 3.755; 0.47; 5.05e+09;  1.11;100
 5; 3.770; 0.46; 4.70e+09;  1.12;100
 5; 3.770; 0.45; 4.73e+09;  1.11;100
 5; 3.816; 0.42; 9.05e+08;  1.25;100
 5; 3.773; 0.44; 4.74e+09;  1.11;100
 5; 3.755; 0.44; 5.43e+09;  1.09;100
 5; 3.764; 0.42; 5.22e+09;  1.09;100
 5; 3.752; 0.43; 5.56e+09;  1.08;100
 5; 3.752; 0.43; 5.60e+09;  1.08;100
 5; 3.795; 0.40; 1.91e+09;  1.20;100
 5; 3.761; 0.42; 5.37e+09;  1.08;100
 5; 3.766; 0.41; 5.23e+09;  1.09;100
 5; 3.764; 0.41; 5.35e+09;  1.08;100
 5; 3.748; 0.42; 5.79e+09;  1.07;100
 5; 3.757; 0.40; 5.72e+09;  1.07;100
 5; 3.757; 0.40; 5.72e+09;  1.07;100
 5; 3.761; 0.39; 5.57e+09;  1.07;100
 5; 3.766; 0.39; 5.42e+09;  1.07;100
 5; 3.800; 0.37; 1.52e+09;  1.19;100
 5; 3.759; 0.38; 5.80e+09;  1.06;100
 5; 3.806; 0.35; 1.08e+09;  1.20;100
 5; 3.761; 0.37; 5.74e+09;  1.06;100
 5; 3.755; 0.37; 6.11e+09;  1.05;100
 5; 3.739; 0.39; 6.39e+09;  1.05;100
 5; 3.803; 0.34; 1.18e+09;  1.19;100
 5; 3.798; 0.34; 1.54e+09;  1.18;100
